step,input_rel_l1,output_rel_l1,experiment_id
0,0.0,0.0,subject_consistency/prompt_00
1,0.3973089158535003,0.7465339303016663,subject_consistency/prompt_00
2,0.1038883998990058,0.3085092306137085,subject_consistency/prompt_00
3,0.0794156491756439,0.1904211193323135,subject_consistency/prompt_00
4,0.059883177280426,0.1270166337490081,subject_consistency/prompt_00
5,0.063280202448368,0.1106812059879303,subject_consistency/prompt_00
6,0.0560389421880245,0.1138660237193107,subject_consistency/prompt_00
7,0.0584373213350772,0.0838896855711937,subject_consistency/prompt_00
8,0.0472819134593009,0.0777225047349929,subject_consistency/prompt_00
9,0.0856295078992843,0.1210419386625289,subject_consistency/prompt_00
10,0.0449128448963165,0.0796626955270767,subject_consistency/prompt_00
11,0.050797265022993,0.0524236112833023,subject_consistency/prompt_00
12,0.047868076711893,0.068878449499607,subject_consistency/prompt_00
13,0.0539037175476551,0.0474564991891384,subject_consistency/prompt_00
14,0.0472859144210815,0.0627444684505462,subject_consistency/prompt_00
15,0.0528944581747055,0.0492547005414962,subject_consistency/prompt_00
16,0.0506104119122028,0.0639290809631347,subject_consistency/prompt_00
17,0.0600932762026786,0.0367296822369098,subject_consistency/prompt_00
18,0.0652858540415763,0.0410635881125927,subject_consistency/prompt_00
19,0.0580828748643398,0.0561583340167999,subject_consistency/prompt_00
20,0.0711809322237968,0.04944459348917,subject_consistency/prompt_00
21,0.0671812891960144,0.0419748350977897,subject_consistency/prompt_00
22,0.072274200618267,0.0632077455520629,subject_consistency/prompt_00
23,0.0995402708649635,0.0462118871510028,subject_consistency/prompt_00
24,0.1025526374578476,0.0472448989748954,subject_consistency/prompt_00
25,0.1245614886283874,0.054659079760313,subject_consistency/prompt_00
26,0.1456945389509201,0.0614619366824626,subject_consistency/prompt_00
27,0.1988047510385513,0.0997735857963562,subject_consistency/prompt_00
28,0.2465351223945617,0.1208989173173904,subject_consistency/prompt_00
29,0.3554533421993255,0.2544613182544708,subject_consistency/prompt_00
0,0.0,0.0,subject_consistency/prompt_05
1,0.3934921026229858,0.702073335647583,subject_consistency/prompt_05
2,0.1033642366528511,0.4293165206909179,subject_consistency/prompt_05
3,0.0769475102424621,0.3331344425678253,subject_consistency/prompt_05
4,0.0585405938327312,0.2231234610080719,subject_consistency/prompt_05
5,0.0638413503766059,0.1768156588077545,subject_consistency/prompt_05
6,0.0532519519329071,0.1855286061763763,subject_consistency/prompt_05
7,0.0538869090378284,0.1446972638368606,subject_consistency/prompt_05
8,0.0494831949472427,0.1208620369434356,subject_consistency/prompt_05
9,0.0840791314840316,0.1559233516454696,subject_consistency/prompt_05
10,0.0451859943568706,0.1083574071526527,subject_consistency/prompt_05
11,0.0546570979058742,0.0726231560111045,subject_consistency/prompt_05
12,0.046946745365858,0.0909199714660644,subject_consistency/prompt_05
13,0.0544272810220718,0.0689104199409484,subject_consistency/prompt_05
14,0.0465721487998962,0.0822757333517074,subject_consistency/prompt_05
15,0.0469357818365097,0.0601787939667701,subject_consistency/prompt_05
16,0.0494871251285076,0.0764331147074699,subject_consistency/prompt_05
17,0.0558997318148613,0.0456629954278469,subject_consistency/prompt_05
18,0.0662808492779731,0.0504688434302806,subject_consistency/prompt_05
19,0.0551771149039268,0.0638862401247024,subject_consistency/prompt_05
20,0.066641591489315,0.0548579916357994,subject_consistency/prompt_05
